filename	sample_ID	accession	study	biosample_accession	total_reads	total_bp	total_Gbp	min	max	mean	quartile_25	quartile_50	quartile_75	N25	N50	N75	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	shear_method_notes	size_selection	size_selection_notes	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	notes
s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220825_174247-bc2012.5mc.hifi_reads.bam	HG00099	SRR23922670	SRP305758	SAMN33758778	2287312	47677590021	47.68	87	64390	20844	17755	20124	23333	18329	20991	24424	PG00099_1.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 3		PippinHT		6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	
s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220827_143814-bc2050.5mc.hifi_reads.bam	HG00099	SRR23922669	SRP305758	SAMN33758778	2276772	45528316868	45.53	52	54052	19996	17274	19325	22189	17720	20026	23102	PG00099_2.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3		PippinHT		6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	
s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m54329U_220829_095708-bc2050.5mc.hifi_reads.bam	HG00099	SRR23922669	SRP305758	SAMN33758778	2531476	50762698477	50.76	138	59908	20052	17309	19387	22273	17765	20098	23193	PG00099_2.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3		PippinHT		6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	
s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64043_220728_173215-bc1018.5mc.hifi_reads.bam	HG00140	SRR23732295	SRP305758	SAMN33621941	517275	10233445025	10.23	51	53341	19783	17853	19373	21259	18131	19724	21738	HG00140_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1		SageELF		6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	
s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64136_220715_182717-bc1018.5mc.hifi_reads.bam	HG00140	SRR23732295	SRP305758	SAMN33621941	1465069	32183433807	32.18	199	72755	21967	18553	20771	24326	19094	21721	25959	HG00140_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1		SageELF		6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	
s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64136_220717_152248-bc1018.5mc.hifi_reads.bam	HG00140	SRR23732295	SRP305758	SAMN33621941	1550035	34068521767	34.07	51	68045	21979	18559	20771	24336	19100	21722	25987	HG00140_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1		SageELF		6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	
s3://human-pangenomics/working/HPRC/HG00140/raw_data/PacBio_HiFi/m64136_220719_122056-bc1018.5mc.hifi_reads.bam	HG00140	SRR23732295	SRP305758	SAMN33621941	1547133	33866031514	33.87	137	73370	21889	18518	20699	24213	19047	21631	25828	HG00140_lib1	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	unaligned reads	Megaruptor 1		SageELF		6.0.0	P2.2	C2	Washington University	tgraves@wustl.edu	
s3://human-pangenomics/working/HPRC/HG00280/raw_data/PacBio_HiFi/m54329U_220901_221341-bc2051.5mc.hifi_reads.bam	HG00280	SRR23922658	SRP305758	SAMN33758779	2371461	47176915770	47.18	87	57069	19893	16982	19131	22147	17461	19906	23180	PG00280.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3		PippinHT		6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	
s3://human-pangenomics/working/HPRC/HG00280/raw_data/PacBio_HiFi/m64076_220831_191646-bc2051.5mc.hifi_reads.bam	HG00280	SRR23922658	SRP305758	SAMN33758779	1770422	35342284205	35.34	83	56326	19962	17046	19212	22241	17534	19996	23256	PG00280.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3		PippinHT		6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	
s3://human-pangenomics/working/HPRC/HG00280/raw_data/PacBio_HiFi/m64457e_220825_195635-bc2051.5mc.hifi_reads.bam	HG00280	SRR23922658	SRP305758	SAMN33758779	2231036	45904022245	45.9	89	60934	20575	17523	19914	23058	18089	20753	24064	PG00280.HFSS	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	unaligned reads	Megaruptor 3		PippinHT		6.3.0	P3.2	C2	University of Washington	kmiyamot@uw.edu	
