accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	assembly	fasta_file	shear_method	size_selection	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact
SRR18158610	SRP305758	new	PRJNA701308	SAMN26267378	HG00642	HG00642.HFSS	PacBio HiFi sequencing of HG00642	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	bam	m54329U_210524_174516.hifi_reads.bam	m64076_210516_091844.hifi_reads.bam	m64076_210520_213355.hifi_reads.bam	m64076_210522_082905.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158609	SRP305758	new	PRJNA701308	SAMN26267379	HG01346	HG01346.HFSS	PacBio HiFi sequencing of HG01346	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m54329U_210624_221223.hifi_reads.bam	m54329U_210629_024631.hifi_reads.bam	m64076_210621_234241.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158604	SRP305758	new	PRJNA701308	SAMN26267379	HG01346	HG01346_f345	PacBio HiFi sequencing of HG01346	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 19kb fractionated gDNA	bam	m64076_210526_105450.hifi_reads.bam					unaligned		Megaruptor 3	SageELF	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158591	SRP305758	new	PRJNA701308	SAMN26267380	HG02071	HG02071a.HFSS	PacBio HiFi sequencing of HG02071	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	bam	m54329U_210507_224951-bc1011_BAK8A_OA.hifi_reads.bam					unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158592	SRP305758	new	PRJNA701308	SAMN26267380	HG02071	HG02071.HFSS	PacBio HiFi sequencing of HG02071	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 19kb fractionated gDNA	bam	m64076_210604_225751.hifi_reads.bam	m64076_210607_215041.hifi_reads.bam	m64076_210609_084637.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158593	SRP305758	new	PRJNA701308	SAMN26267381	HG02074	HG02074a.HFSS	PacBio HiFi sequencing of HG02074	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m54329U_210507_224951-bc1010_BAK8A_OA.hifi_reads.bam					unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158594	SRP305758	new	PRJNA701308	SAMN26267381	HG02074	HG02074.HFSS	PacBio HiFi sequencing of HG02074	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m54329U_210626_074001.hifi_reads.bam	m54329U_210630_194237.hifi_reads.bam	m64076_210630_101034.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158595	SRP305758	new	PRJNA701308	SAMN26267382	HG02132	HG02132.HFSS	PacBio HiFi sequencing of HG02132	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 26kb fractionated gDNA	bam	m54329U_210627_170630.hifi_reads.bam	m54329U_210704_040110.hifi_reads.bam	m54329U_210705_145805.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158596	SRP305758	new	PRJNA701308	SAMN26267382	HG02132	HG02132_f345	PacBio HiFi sequencing of HG02132	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	bam	m64076_210525_000003.hifi_reads.bam					unaligned		Megaruptor 3	SageELF	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158597	SRP305758	new	PRJNA701308	SAMN26267383	HG02647	HG02647.HFSS	PacBio HiFi sequencing of HG02647	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 19kb fractionated gDNA	bam	m54329U_210604_200442.hifi_reads.bam	m64076_210527_231639.hifi_reads.bam	m64076_210530_192034.hifi_reads.bam	m64076_210601_061523.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158608	SRP305758	new	PRJNA701308	SAMN26267384	HG02683	HG02683.HFSS	PacBio HiFi sequencing of HG02683	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	bam	m54329U_210707_171722.hifi_reads.bam	m54329U_210709_030038.hifi_reads.bam	m64076_210703_103644.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158607	SRP305758	new	PRJNA701308	SAMN26267385	HG03688	HG03688.HFSS	PacBio HiFi sequencing of HG03688	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	bam	m54329U_210608_221930.hifi_reads.bam	m54329U_210611_221457.hifi_reads.bam	m54329U_210618_202343.hifi_reads.bam	m64076_210610_224207.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158598	SRP305758	new	PRJNA701308	SAMN26267386	HG03927	HG03927a.HFSS	PacBio HiFi sequencing of HG03927	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 17kb fractionated gDNA	bam	m54329U_210522_083046.hifi_reads.bam	m64076_210514_222349.hifi_reads.bam	m64076_210517_210115.hifi_reads.bam	m64076_210519_075634.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158599	SRP305758	new	PRJNA701308	SAMN26267387	HG03942	HG03942a.HFSS	PacBio HiFi sequencing of HG03942	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	bam	m54329U_210507_224951-bc1017_BAK8B_OA.hifi_reads.bam					unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158601	SRP305758	new	PRJNA701308	SAMN26267387	HG03942	HG03942.HFSS	PacBio HiFi sequencing of HG03942	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	bam	m54329U_210613_071322.hifi_reads.bam	m64076_210606_095247.hifi_reads.bam	m64076_210612_093800.hifi_reads.bam	m64076_210615_181342.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
