accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	assembly	fasta_file	shear_method	size_selection	ccs_algorithm	data_type	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact
SRR23922670	SRP305758	new	PRJNA701308	SAMN33758778	PG00099_1.HFSS	PacBio HiFi sequencing of HG00099	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m54329U_220825_174247-bc2012.5mc.hifi_reads.bam						unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922669	SRP305758	new	PRJNA701308	SAMN33758778	PG00099_2.HFSS	PacBio HiFi sequencing of HG00099	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	bam	m54329U_220827_143814-bc2050.5mc.hifi_reads.bam	m54329U_220829_095708-bc2050.5mc.hifi_reads.bam					unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922658	SRP305758	new	PRJNA701308	SAMN33758779	PG00280.HFSS	PacBio HiFi sequencing of HG00280	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	bam	m54329U_220901_221341-bc2051.5mc.hifi_reads.bam	m64076_220831_191646-bc2051.5mc.hifi_reads.bam	m64457e_220825_195635-bc2051.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922640	SRP305758	new	PRJNA701308	SAMN33758780	HG00558.HFSS	PacBio HiFi sequencing of HG00558	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m54329U_220107_233847-bc1016.5mc.hifi_reads.bam	m54329U_220114_143904-bc1016.5mc.hifi_reads.bam	m54329U_220116_013607-bc1016.5mc.hifi_reads.bam	m64076_220216_013707-bc1016.5mc.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922643	SRP305758	new	PRJNA701308	SAMN33758781	HG00639.HFSS	PacBio HiFi sequencing of HG00639	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	bam	m54329U_211222_104516-bc1010.5mc.hifi_reads.bam	m54329U_211230_014258-bc1010.5mc.hifi_reads.bam	m54329U_211231_123903-bc1010.5mc.hifi_reads.bam	m64076_220216_013707-bc1010.5mc.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922644	SRP305758	new	PRJNA701308	SAMN33758782	HG01074_SRE.HFSS	PacBio HiFi sequencing of HG01074	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	bam	m54329U_211110_112322-bc1008.5mc.hifi_reads.bam						unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922645	SRP305758	new	PRJNA701308	SAMN33758782	HG01074.HFSS2	PacBio HiFi sequencing of HG01074	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	bam	m54329U_211208_005551-bc1008.5mc.hifi_reads.bam	m54329U_211211_014820-bc1008.5mc.hifi_reads.bam	m54329U_211212_111219-bc1008.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922647	SRP305758	new	PRJNA701308	SAMN33758783	HG01081.HFSS	PacBio HiFi sequencing of HG01081	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	bam	m54329U_211223_214216-bc1011.5mc.hifi_reads.bam	m54329U_220101_220852-bc1011.5mc.hifi_reads.bam	m54329U_220103_072943-bc1011.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922646	SRP305758	new	PRJNA701308	SAMN33758784	HG02040.HFSS2	PacBio HiFi sequencing of HG02040	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	bam	m64076_220908_204946-bc2056.5mc.hifi_reads.bam	m64076_220910_174812-bc2056.5mc.hifi_reads.bam	m64076_220912_140850-bc2056.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922648	SRP305758	new	PRJNA701308	SAMN33758785	PG02165.HFSS2	PacBio HiFi sequencing of HG02165	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	bam	m64076_220902_143723-bc2054.5mc.hifi_reads.bam	m64076_220904_113359-bc2054.5mc.hifi_reads.bam	m64076_220906_083112-bc2054.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922668	SRP305758	new	PRJNA701308	SAMN33758786	HG02451_SRE.HFSS	PacBio HiFi sequencing of HG02451	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	bam	m64076_211109_232223-bc1003.5mc.hifi_reads.bam						unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922667	SRP305758	new	PRJNA701308	SAMN33758786	HG02451.HFSS2	PacBio HiFi sequencing of HG02451	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	bam	m64076_211208_005550-bc1003.5mc.hifi_reads.bam	m64076_211211_014755-bc1003.5mc.hifi_reads.bam	m64076_211212_112351-bc1003.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922666	SRP305758	new	PRJNA701308	SAMN33758787	HG02735_SRE.HFSS	PacBio HiFi sequencing of HG02735	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	bam	m54329U_211109_002533-bc1002.5mc.hifi_reads.bam						unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922665	SRP305758	new	PRJNA701308	SAMN33758787	HG02735.HFSS2	PacBio HiFi sequencing of HG02735	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	bam	m54329U_211204_121716-bc1002.5mc.hifi_reads.bam	m54329U_211209_115915-bc1002.5mc.hifi_reads.bam	m64076_211209_102926-bc1002.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922664	SRP305758	new	PRJNA701308	SAMN33758788	PG02922.HFSS	PacBio HiFi sequencing of HG02922	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	bam	m54329U_220816_182601-bc2045.5mc.hifi_reads.bam						unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922663	SRP305758	new	PRJNA701308	SAMN33758788	PG02922.HFSS2	PacBio HiFi sequencing of HG02922	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	bam	m54329U_220903_190900-bc2053.5mc.hifi_reads.bam	m54329U_220905_144015-bc2053.5mc.hifi_reads.bam	m54329U_220907_100858-bc2053.5mc.hifi_reads.bam	m64457e_220902_165459-bc2053.5mc.hifi_reads.bam	m64457e_220906_104717-bc2053.5mc.hifi_reads.bam	m64457e_220904_135104-bc2053.5mc.hifi_reads.bam	unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922662	SRP305758	new	PRJNA701308	SAMN33758789	HG03017.HFSS	PacBio HiFi sequencing of HG03017	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	bam	m54329U_211225_070909-bc1012.5mc.hifi_reads.bam	m54329U_220109_103416-bc1012.5mc.hifi_reads.bam	m54329U_220117_123334-bc1012.5mc.hifi_reads.bam	m64076_220216_013707-bc1012.5mc.hifi_reads.bam	m64076_221001_041132-bc1012.5mc.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922661	SRP305758	new	PRJNA701308	SAMN33758790	HG03041.HFSS	PacBio HiFi sequencing of HG03041	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m54329U_211214_012740-bc1009.5mc.hifi_reads.bam	m54329U_211215_225017-bc1009.5mc.hifi_reads.bam	m54329U_211217_080751-bc1009.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922660	SRP305758	new	PRJNA701308	SAMN33758791	HG03130.HFSS	PacBio HiFi sequencing of HG03130	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	bam	m64076_220513_215716-bc2018.5mc.hifi_reads.bam	m64076_220516_221911-bc2018.5mc.hifi_reads.bam	m64076_220518_191414-bc2018.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922659	SRP305758	new	PRJNA701308	SAMN33758792	HG03139.HFSS	PacBio HiFi sequencing of HG03139	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	bam	m54329U_220519_225150-bc2019.5mc.hifi_reads.bam	m54329U_220523_155616-bc2019.5mc.hifi_reads.bam	m54329U_220525_111437-bc2019.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922657	SRP305758	new	PRJNA701308	SAMN33758793	HG03209.HFSS	PacBio HiFi sequencing of HG03209	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	bam	m64076_220520_234906-bc2020.5mc.hifi_reads.bam	m64076_220524_161808-bc2020.5mc.hifi_reads.bam	m64076_220526_115049-bc2020.5mc.hifi_reads.bam	m64076_221001_041132-bc2020.5mc.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922656	SRP305758	new	PRJNA701308	SAMN33758794	HG03239.HFSS	PacBio HiFi sequencing of HG03239	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	bam	m54329U_220105_011819-bc1015.5mc.hifi_reads.bam	m64076_220106_231243-bc1015.5mc.hifi_reads.bam	m64076_220108_100904-bc1015.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922655	SRP305758	new	PRJNA701308	SAMN33758795	HG03704_SRE.HFSS	PacBio HiFi sequencing of HG03704	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 26kb fractionated gDNA	bam	m54329U_211105_213234-bc1001.5mc.hifi_reads.bam	m54329U_211111_222027-bc1001.5mc.hifi_reads.bam					unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922654	SRP305758	new	PRJNA701308	SAMN33758795	HG03704.HFSS3	PacBio HiFi sequencing of HG03704	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 25kb fractionated gDNA	bam	m54329U_220203_054640-bc1001.5mc.hifi_reads.bam	m54329U_220207_224702-bc1001.5mc.hifi_reads.bam	m64076_220216_013707-bc1001.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922653	SRP305758	new	PRJNA701308	SAMN33758795	HG03704.HFSS4	PacBio HiFi sequencing of HG03704	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m54329U_220203_054640-bc1018.5mc.hifi_reads.bam						unaligned		Megaruptor 3	PippinHT	6.2.0	unaligned reads	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR23922652	SRP305758	new	PRJNA701308	SAMN33758796	NA18522.HFSS	PacBio HiFi sequencing of NA18522	WGS	GENOMIC	RANDOM	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	bam	m54329U_220604_002013-bc2021.5mc.hifi_reads.bam	m54329U_220605_194957-bc2021.5mc.hifi_reads.bam	m54329U_220607_194753-bc2021.5mc.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.3.0	unaligned reads	P3.2	C2	University of Washington	kmiyamot@uw.edu
