accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	shear_method	size_selection	ccs_algorithm	data_type	primrose_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact
SRR23732295	SRP305758	new	PRJNA701308	SAMN33621941	HG00140	HG00140_lib1	PacBio HiFi sequencing of HG00140	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220728_173215-bc1018.5mc.hifi_reads.bam	m64136_220719_122056-bc1018.5mc.hifi_reads.bam	m64136_220717_152248-bc1018.5mc.hifi_reads.bam	m64136_220715_182717-bc1018.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732294	SRP305758	new	PRJNA701308	SAMN33621942	HG00323	HG00323_lib1	PacBio HiFi sequencing of HG00323	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64136_220708_205611-bc1016.5mc.hifi_reads.bam	m64136_220712_144943-bc1016.5mc.hifi_reads.bam	m64043_220728_173215-bc1016.5mc.hifi_reads.bam	m64136_220710_175208-bc1016.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732283	SRP305758	new	PRJNA701308	SAMN33621943	HG00408	HG00408_lib1	PacBio HiFi sequencing of HG00408	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64136_211114_164241-bc1002.5mc.hifi_reads.bam	m64136_211111_194404-bc1002.5mc.hifi_reads.bam	m64136_211113_063830-bc1002.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732280	SRP305758	new	PRJNA701308	SAMN33621944	HG00597	HG00597_lib1	PacBio HiFi sequencing of HG00597	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_211210_180342-bc1021.5mc.hifi_reads.bam	m64043_211213_155654-bc1021.5mc.hifi_reads.bam	m64043_211222_184851-bc1021.5mc.hifi_reads.bam	m64043_211212_045901-bc1021.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732279	SRP305758	new	PRJNA701308	SAMN33621945	HG01192	HG01192_lib1	PacBio HiFi sequencing of HG01192	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_211126_061537.5mc.hifi_reads.bam	m64043_211124_192057.5mc.hifi_reads.bam	m64043_211127_171224.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732278	SRP305758	new	PRJNA701308	SAMN33621946	HG01261	HG01261_lib1	PacBio HiFi sequencing of HG01261	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_211222_184851-bc1001.5mc.hifi_reads.bam	m64136_211108_160613-bc1001.5mc.hifi_reads.bam	m64136_211105_181124-bc1001.5mc.hifi_reads.bam	m64136_211107_050725-bc1001.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732277	SRP305758	new	PRJNA701308	SAMN33621947	HG01975	HG01975_lib1	PacBio HiFi sequencing of HG01975	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_211113_003158-bc1003.5mc.hifi_reads.bam	m64043_211114_112934-bc1003.5mc.hifi_reads.bam	m64043_211222_184851-bc1003.5mc.hifi_reads.bam	m64043_211115_222749-bc1003.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732276	SRP305758	new	PRJNA701308	SAMN33621948	HG02015	HG02015_lib1	PacBio HiFi sequencing of HG02015	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_210903_163032-bc1022.5mc.hifi_reads.bam	m64043_210905_032603-bc1022.5mc.hifi_reads.bam	m64043_210901_164337-bc1022.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732275	SRP305758	new	PRJNA701308	SAMN33621949	HG02056	HG02056_lib1	PacBio HiFi sequencing of HG02056	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64136_211121_153454-bc1009.5mc.hifi_reads.bam	m64043_220114_181052-bc1009.5mc.hifi_reads.bam	m64136_211120_043838-bc1009.5mc.hifi_reads.bam	m64136_211118_185339-bc1009.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732274	SRP305758	new	PRJNA701308	SAMN33621950	HG02129	HG02129_lib1	PacBio HiFi sequencing of HG02129	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64136_220424_050632-bc1001.5mc.hifi_reads.bam	m64136_220426_155627-bc1001.5mc.hifi_reads.bam	m64136_220422_181133-bc1001.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
